state,territory_code,construction_type,rate
nc,132,non_combustible,0.109
nc,132,masonry_non_combustible,0.043
nc,132,modified_fire_resistive,0.034
nc,132,fire_resistive,0.034
nc,113,frame,0.1
nc,113,masonry_joisted,0.1
nc,113,non_combustible,0.1
nc,113,masonry_non_combustible,0.039
nc,113,modified_fire_resistive,0.032
nc,113,fire_resistive,0.032
nc,133,frame,0.1
nc,133,masonry_joisted,0.1
nc,133,non_combustible,0.1
nc,133,masonry_non_combustible,0.039
nc,133,modified_fire_resistive,0.032
nc,133,fire_resistive,0.032
nc,114,frame,0.076
nc,114,masonry_joisted,0.076
nc,114,non_combustible,0.076
nc,114,masonry_non_combustible,0.036
nc,114,modified_fire_resistive,0.028
nc,114,fire_resistive,0.028
nc,124,frame,0.076
nc,124,masonry_joisted,0.076
nc,124,non_combustible,0.076
nc,124,masonry_non_combustible,0.036
nc,124,modified_fire_resistive,0.028
nc,124,fire_resistive,0.028
nc,134,frame,0.076
nc,134,masonry_joisted,0.076
nc,134,non_combustible,0.076
nc,134,masonry_non_combustible,0.036
nc,134,modified_fire_resistive,0.028
nc,134,fire_resistive,0.028
nc,115,frame,0.071
nc,115,masonry_joisted,0.071
nc,115,non_combustible,0.071
nc,115,masonry_non_combustible,0.033
nc,115,modified_fire_resistive,0.026
nc,115,fire_resistive,0.026
nc,155,frame,0.071
nc,155,masonry_joisted,0.071
nc,155,non_combustible,0.071
nc,155,masonry_non_combustible,0.033
nc,155,modified_fire_resistive,0.026
nc,155,fire_resistive,0.026
nc,116,frame,0.371
nc,116,masonry_joisted,0.371
nc,116,non_combustible,0.371
nc,116,masonry_non_combustible,0.155
nc,116,modified_fire_resistive,0.124
nc,116,fire_resistive,0.124
nd,111,frame,0.17
nd,111,masonry_joisted,0.17
nd,111,non_combustible,0.17
nd,111,masonry_non_combustible,0.089
nd,111,modified_fire_resistive,0.071
nd,111,fire_resistive,0.071
nd,112,frame,0.169
nd,112,masonry_joisted,0.169
nd,112,non_combustible,0.169
nd,112,masonry_non_combustible,0.088
nd,112,modified_fire_resistive,0.07
nd,112,fire_resistive,0.07
nd,113,frame,0.167
nd,113,masonry_joisted,0.167
nd,113,non_combustible,0.167
nd,113,masonry_non_combustible,0.087
nd,113,modified_fire_resistive,0.07
nd,113,fire_resistive,0.07
nd,121,frame,0.17
nd,121,masonry_joisted,0.17
nd,121,non_combustible,0.17
nd,121,masonry_non_combustible,0.089
nd,121,modified_fire_resistive,0.071
nd,121,fire_resistive,0.071
nd,122,frame,0.169
nd,122,masonry_joisted,0.169
nd,122,non_combustible,0.169
nd,122,masonry_non_combustible,0.088
nd,122,modified_fire_resistive,0.07
nd,122,fire_resistive,0.07
nd,123,frame,0.167
nd,123,masonry_joisted,0.167
nd,123,non_combustible,0.167
nd,123,masonry_non_combustible,0.087
nd,123,modified_fire_resistive,0.07
nd,123,fire_resistive,0.07
nd,132,frame,0.169
nd,132,masonry_joisted,0.169
nd,132,non_combustible,0.169
nd,132,masonry_non_combustible,0.088
nd,132,modified_fire_resistive,0.07
nd,132,fire_resistive,0.07
nd,133,frame,0.167
nd,133,masonry_joisted,0.167
nd,133,non_combustible,0.167
nd,133,masonry_non_combustible,0.087
nd,133,modified_fire_resistive,0.07
